primary_label,common_name,scientific_name,class_name,n_positive,perch_mapped,auc_base,auc_final
64898,Yungas de la Paz Poison Frog,Ameerega picta,Amphibia,0,True,,
65377,Lesser Tree Frog,Dendropsophus minutus,Amphibia,9,True,0.3493880146240661,0.28135431568907965
65380,Dwarf Tree Frog,Dendropsophus nanus,Amphibia,333,True,0.8219659659659659,0.9309069069069069
66971,Paraguayan Swimming Frog,Pseudis platensis,Amphibia,149,True,0.5366606235967872,0.5522085219291399
67107,Rococo Toad,Rhinella diptycha,Amphibia,9,True,0.3601971069782229,0.3150532506755682
67252,Milk Frog,Trachycephalus typhonius,Amphibia,2,True,0.8569405099150141,0.8569405099150141
70711,Cei's White-lipped Frog,Leptodactylus macrosternum,Amphibia,0,True,,
738183,White-coated Titi,Plecturocebus pallescens,Mammalia,0,True,,
74113,Highland,Bos taurus,Mammalia,2,True,0.8512747875354107,0.8512747875354107
74580,Black-tailed Marmoset,Mico melanurus,Mammalia,0,False,,
760266,Prionacris erosa,Prionacris erosa,Insecta,0,True,,
ashgre1,Ashy-headed Greenlet,Hylophilus pectoralis,Aves,0,True,,
astcra1,Ash-throated Crake,Mustelirallus albicollis,Aves,0,True,,
bafcur1,Bare-faced Curassow,Crax fasciolata,Aves,9,True,0.8318232395485614,0.6792242886663488
baffal1,Barred Forest-Falcon,Micrastur ruficollis,Aves,0,True,,
banana,Bananaquit,Coereba flaveola,Aves,0,True,,
barant1,Barred Antshrike,Thamnophilus doliatus,Aves,0,True,,
batbel1,Bare-throated Bellbird,Procnias nudicollis,Aves,0,True,,
baymac,Blue-and-yellow Macaw,Ara ararauna,Aves,0,True,,
bbwduc,Black-bellied Whistling Duck,Dendrocygna autumnalis,Aves,0,True,,
bcwfin2,Black-capped Warbling Finch,Microspingus melanoleucus,Aves,0,True,,
bkcdon,Black-capped Donacobius,Donacobius atricapilla,Aves,0,True,,
bkhpar,Nanday Parakeet,Aratinga nenday,Aves,0,True,,
blchaw1,Black-collared Hawk,Busarellus nigricollis,Aves,0,True,,
